year,month,anomaly,total_uncertainty,uncorrelated_uncertainty,correlated_uncertainty,bias_uncertainty,coverage_uncertainty,lower_bound_95pct_bias_uncertainty_range,upper_bound_95pct_bias_uncertainty_range
1862,10,-0.27183,0.12157,0.03425,0.08280,0.02433,0.07848,-0.32050,-0.22200
1862,11,-0.32046,0.13471,0.03440,0.09742,0.02125,0.08379,-0.36350,-0.27700
1862,12,-0.41060,0.14593,0.03270,0.09159,0.02124,0.10670,-0.45300,-0.36800
1863,1,-0.44204,0.14262,0.03170,0.09001,0.02338,0.10338,-0.48550,-0.39350
1863,2,-0.20923,0.14546,0.03533,0.10152,0.02467,0.09484,-0.25550,-0.15750
1863,3,-0.29340,0.14631,0.03547,0.06047,0.02728,0.12549,-0.34500,-0.23750
1863,4,-0.28359,0.13445,0.03379,0.07675,0.03178,0.10017,-0.34200,-0.21700
1863,5,-0.53185,0.13029,0.03430,0.07546,0.03129,0.09553,-0.58950,-0.46650
1863,6,-0.47218,0.13029,0.02926,0.07208,0.03211,0.09946,-0.53250,-0.40350
1863,7,-0.27346,0.14606,0.03332,0.07776,0.03031,0.11515,-0.33100,-0.20700
1863,8,-0.32492,0.13440,0.03215,0.05995,0.03116,0.11165,-0.38450,-0.25550
1863,9,-0.46591,0.13723,0.03102,0.05938,0.02812,0.11641,-0.52000,-0.40650
1863,10,-0.23303,0.14130,0.03209,0.06457,0.02641,0.11862,-0.28500,-0.17750
1863,11,-0.27194,0.14464,0.03804,0.06166,0.02446,0.12278,-0.32100,-0.21900
1863,12,-0.34445,0.13388,0.03563,0.06648,0.02299,0.10819,-0.39050,-0.29600
1864,1,-0.65718,0.13778,0.03493,0.07302,0.02378,0.10892,-0.70150,-0.60700
1864,2,-0.45422,0.13006,0.03542,0.07845,0.02518,0.09419,-0.50100,-0.40100
1864,3,-0.43596,0.13669,0.03322,0.06107,0.02720,0.11450,-0.48600,-0.37800
1864,4,-0.53300,0.14434,0.03494,0.07646,0.03079,0.11323,-0.59000,-0.46800
